Universidade,E-mails,Tel,Coordenação / Chefia,Secretaria,Atendimento,Site
Universidade da Integração Internacional da Lusofonia Afro-Brasileira - UNILAB,historia.ba@unilab.edu.br,(71)3651-8254,Paulo Alves Júnior,__,__,https://historiamales.unilab.edu.br
Universidade Federal da Bahia -UFBA,fch07@ufba.br,(71) 3283-6443,Lina Maria Brandão de Aras,Madalena Alcantara ,__,https://historia.ufba.br
Universidade do Estado da Bahia - UNEB/ SALVADOR,colegiadohistoria6@gmail.com,(71) 3117-2443 ,Charles Santana,Maria Alice,Seg/Sex. 8h às 12h,https://portal.uneb.br/salvador/cursos/historia
Universidade do Estado da Bahia - UNEB/ CAETITÉ,colhist.uneb6@gmail.com - jneves@uneb.br,(77) 3454-2021 / Ramal 209,Jairo Nascimento,Juliano Silva,Seg/Sex. 14h às 18h,https://portal.uneb.br/caetite/cursos/historia
Universidade do Estado da Bahia - UNEB/ALAGOINHAS,colegiado.historia@yahoo.com.br,(75) 3422-1043,Maricélia Santos,__,Seg/Sex. 14h às 18h,https://portal.uneb.br/alagoinhas/cursos/historia
Universidade do Estado da Bahia - UNEB/CONCEIÇÃO DO COITÉ,igoliveira@uneb.br - colhistoriacoite@uneb.br - udantas@uneb.br,(75) 3262-7508,Ilzimar Oliveira,Uilma Santos,Seg/Sex. 13h às 17h e 19h às  22h,https://portal.uneb.br/conceicaodocoite/cursos/historia
Universidade do Estado da Bahia - UNEB/JACOBINA,historiadch4@uneb.br,(74) 3621-3337 (Ramal 225),Jackson André da S. Ferreira,Cleidiane Silva Araújo,Seg/Sex. 9h às 12h e 14h às 19h,https://portal.uneb.br/jacobina/cursos/historia
Universidade do Estado da Bahia - UNEB / TEIXIERA DE FREITAS,jonathanmolar@hotmail.com - colegiadodehistoria2012@gmail.com,(73) 3263-8050 (Ramal 210),Jonathan de Oliveira Molar,Frederico Loiola Viana,Seg/Sex. 14h às 18h,https://portal.uneb.br/teixeiradefreitas/cursos/historia
Universidade do Estado da Bahia - UNEB/ ITABERABA,laslima@uneb.br,(75) 3251-1710,Luiz Alberto da Silva Lima,,Seg/Sex. 14h às 18h,https://portal.uneb.br/itaberaba/cursos/historia
Universidade do Estado da Bahia - UNEB/ EUNÁPOLIS,cessilva@uneb.br - colegiado.historia@gmail.com - jncruz@uneb.br,(73) 3281-6155 - Ramal: 19,Célia Santana Silva,Jakline Nascimento da Cruz,Seg/Sex. 08h às 18h,https://portal.uneb.br/eunapolis/cursos/historia
Universidade Estadual de Feira de Santana - UEFS,colhis@uefs.br, (75) 3161-8092,Rinaldo  Cesar Nascimento Leite,Diana Silva Oliveira,__,http://www.historia.uefs.br
Universidade Estadual de Santa Cruz - UESC,colhist@uesc.br,(73)3680-5121; 3680-5135, Teresinha Marcis,Antônio Conceição Moura e Caroliny Oliveira Mororó,__,http://www.uesc.br/cursos/graduacao/licenciatura/historia/index.php
Universidade Estadual do Sudoeste da Bahia - UESB,cch@uesb.edu.br,77 34248676,Cleide Lima Chaves,__,Seg/Sex. 14h às 20h,http://catalogo.uesb.br/cursos/historia-lic-vc
Universidade Federal do Oeste da Bahia - UFOB,censino.cehu@ufob.edu.br,__,__,__,__,https://ufob.edu.br/ensino/graduacao/historia/licenciatura   https://ufob.edu.br/ensino/graduacao/historia/bacharelado
Universidade Federal do Sul da Bahia - UFSB,historia@ufsb.edu.br   -  ivana@ufsb.edu.br  -  ,__,Ivana Maria Gamerman,__,__,https://www.ufsb.edu.br/cfchs/graduacao/historia
Universidade Federal do Recôncavo Baiano - UFRB,__,__,Luciana da Cruz Brito,__,__,https://www.ufrb.edu.br/historia
