Universidade,E-mails,Tel,Coordenação / Chefia,Secretaria,Atendimento,Site
UNILAB,historia.ba@unilab.edu.br,,Paulo Alves Júnior,,,https://historiamales.unilab.edu.br/
UFBA,fch07@ufba.br,(71) 3283-6443,Lina Maria Brandão de Aras,Madalena Alcantara ,,https://historia.ufba.br/
UNEB/ SALVADOR,colegiadohistoria6@gmail.com,(71) 3117-2443 ,Charles Santana,Maria Alice,Seg/Sex. 8h às 12h,
UNEB/ CAETITÉ,colhist.uneb6@gmail.com - jneves@uneb.br,(77) 3454-2021 / Ramal 209,Jairo Nascimento,Juliano Silva,Seg/Sex. 14h às 18h,
UNEB/ALAGOINHAS,colegiado.historia@yahoo.com.br,(75) 3422-1043,Maricélia Santos,,Seg/Sex. 14h às 18h,
UNEB/CONCEIÇÃO DO COITÉ ,igoliveira@uneb.br - colhistoriacoite@uneb.br - udantas@uneb.br,(75) 3262-7508,Ilzimar Oliveira,Uilma Santos,Seg/Sex. 13h às 17h e 19h às 22h,
UNEB/JACOBINA,historiadch4@uneb.br,(74) 3621-3337 (Ramal 225),Jacksona André da S. Ferreira,Cleidiane Silva Araújo,Seg/Sex. 9h às 12h e 14h às 19h,
UNEB / TEIXIERA DE FREITAS,jonathanmolar@hotmail.com - colegiadodehistoria2012@gmail.com,(73) 3263-8050 (Ramal 210),Jonathan de Oliveira Molar,Frederico Loiola Viana,Seg/Sex. 14h às 18h,
UNEB/ ITABERABA,laslima@uneb.br,(75) 3251-1710,Luiz Alberto da Silva Lima,,Seg/Sex. 14h às 18h,
UNEB/ EUNÁPOLIS,cessilva@uneb.br - colegiado.historia@gmail.com - jncruz@uneb.br,(73) 3281-6155  Ramal: 19,Célia Santana Silva,Jakline Nascimento da Cruz,Seg/Sex. 08h às 18h,
Universidade Estadual de Feira de Santana – UEFS,,,,,,
Universidade Estadual de Santa Cruz – UESC,,,,,,
Universidade Estadual do Sudoeste da Bahia – UESB,,,,,,
Universidade Federal do Oeste da Bahia – UFOB,,,,,,https://www.ufsb.edu.br/cfchs/graduacao/historia
Universidade Federal do Sul da Bahia – UFSB,,,,,,
UFRB,,,,,,
